year,scenario,age_band,metric,incidence_per1000,ci_lo,ci_hi,pct_reduction_vs_BAU,red_lo,red_hi
2023,SMC-5 (U5),U15,severe,3.8,1.2,9.2,4.9,-126.2,79.4
2023,SMC-4 (U10),U5,severe,5.9,0.0,13.3,,,
2023,SMC-4 (U10),5-10,severe,0.9,0.0,5.6,,,
2023,SMC-4 (U10),10-15,severe,1.2,0.0,4.8,,,
2023,SMC-4 (U10),U15,severe,2.9,0.0,7.2,20.8,-100.2,100.0
2023,SMC-4 (U15),U5,severe,5.4,0.0,13.6,,,
2023,SMC-4 (U15),5-10,severe,0.7,0.0,6.7,,,
2023,SMC-4 (U15),10-15,severe,0.5,0.0,4.5,,,
2023,SMC-4 (U15),U15,severe,2.5,0.0,5.0,32.2,-152.7,100.0
2023,SMC-5 (U10),U5,severe,4.0,0.0,10.1,,,
2023,SMC-5 (U10),5-10,severe,0.8,0.0,5.5,,,
2023,SMC-5 (U10),10-15,severe,1.1,0.0,4.8,,,
2023,SMC-5 (U10),U15,severe,2.1,0.0,5.0,45.4,-0.5,100.0
2023,SMC-5 (U15),U5,severe,3.5,0.0,9.9,,,
2023,SMC-5 (U15),5-10,severe,0.7,0.0,6.7,,,
2023,SMC-5 (U15),10-15,severe,0.3,0.0,4.4,,,
2023,SMC-5 (U15),U15,severe,1.7,0.0,3.8,56.0,-0.3,100.0
2024,BAU: SMC-4 (U5),U5,severe,8.8,0.0,20.1,,,
2024,BAU: SMC-4 (U5),5-10,severe,3.2,0.0,10.2,,,
2024,BAU: SMC-4 (U5),10-15,severe,1.3,0.0,6.6,,,
2024,BAU: SMC-4 (U5),U15,severe,4.8,1.3,11.4,,,
2024,SMC-5 (U5),U5,severe,5.0,0.0,15.2,,,
2024,SMC-5 (U5),5-10,severe,2.7,0.0,13.7,,,
2024,SMC-5 (U5),10-15,severe,1.1,0.0,4.8,,,
2024,SMC-5 (U5),U15,severe,3.2,0.0,9.6,,,
2024,SMC-4 (U10),U5,severe,9.6,0.0,22.9,,,
2024,SMC-4 (U10),5-10,severe,1.4,0.0,4.0,,,
2024,SMC-4 (U10),10-15,severe,0.7,0.0,4.8,,,
2024,SMC-4 (U10),U15,severe,4.4,0.5,9.9,,,
2024,SMC-4 (U15),U5,severe,7.9,0.0,16.8,,,
2024,SMC-4 (U15),5-10,severe,1.5,0.0,7.0,,,
2024,SMC-4 (U15),10-15,severe,0.6,0.0,4.6,,,
2024,SMC-4 (U15),U15,severe,3.8,0.6,7.7,,,
2024,SMC-5 (U10),U5,severe,4.5,0.0,12.5,,,
2024,SMC-5 (U10),5-10,severe,0.5,0.0,4.0,,,
2024,SMC-5 (U10),10-15,severe,1.0,0.0,5.0,,,
2024,SMC-5 (U10),U15,severe,2.2,0.0,5.9,,,
2024,SMC-5 (U15),U5,severe,3.9,0.0,12.5,,,
2024,SMC-5 (U15),5-10,severe,0.9,0.0,6.0,,,
2024,SMC-5 (U15),10-15,severe,0.1,0.0,2.0,,,
2024,SMC-5 (U15),U15,severe,1.9,0.0,5.0,,,
2025,BAU: SMC-4 (U5),U5,severe,7.7,0.0,18.9,,,
2025,BAU: SMC-4 (U5),5-10,severe,3.9,0.0,11.2,,,
2025,BAU: SMC-4 (U5),10-15,severe,1.2,0.0,4.6,,,
2025,BAU: SMC-4 (U5),U15,severe,4.6,1.1,9.5,,,
2025,SMC-5 (U5),U5,severe,5.8,0.0,12.1,,,
2025,SMC-5 (U5),5-10,severe,4.4,0.0,10.8,,,
2025,SMC-5 (U5),10-15,severe,1.7,0.0,8.5,,,
2025,SMC-5 (U5),U15,severe,4.2,1.2,7.8,,,
2025,SMC-4 (U10),U5,severe,9.3,0.0,18.4,,,
2025,SMC-4 (U10),5-10,severe,0.9,0.0,3.8,,,
