year,scenario,age_band,metric,incidence_per1000,ci_lo,ci_hi,pct_reduction_vs_BAU,red_lo,red_hi
2027,SMC-5 (U10),10-15,clinical,2710.2,2449.5,2981.4,0.8,-10.2,12.5
2027,SMC-5 (U10),U15,clinical,1830.1,1690.3,1946.1,31.9,27.4,36.5
2027,SMC-5 (U15),U5,clinical,1558.4,1359.7,1749.4,22.1,10.9,31.5
2027,SMC-5 (U15),5-10,clinical,1423.5,1261.5,1588.9,59.0,53.5,64.6
2027,SMC-5 (U15),10-15,clinical,1254.4,1092.2,1389.5,54.1,47.4,60.7
2027,SMC-5 (U15),U15,clinical,1429.4,1291.7,1550.8,46.8,41.6,50.8
2023,BAU: SMC-4 (U5),U5,severe,7.7,0.0,15.1,,,
2023,BAU: SMC-4 (U5),5-10,severe,4.8,0.0,15.5,,,
2023,BAU: SMC-4 (U5),10-15,severe,1.8,0.0,8.8,,,
2023,BAU: SMC-4 (U5),U15,severe,5.1,1.1,10.4,,,
2023,SMC-5 (U5),U5,severe,5.5,0.0,11.7,,,
2023,SMC-5 (U5),5-10,severe,5.4,0.0,13.8,,,
2023,SMC-5 (U5),10-15,severe,1.2,0.0,4.5,,,
2023,SMC-5 (U5),U15,severe,4.3,1.1,8.3,6.5,-126.2,63.4
2023,SMC-4 (U10),U5,severe,7.1,0.0,15.8,,,
2023,SMC-4 (U10),5-10,severe,1.1,0.0,6.8,,,
2023,SMC-4 (U10),10-15,severe,2.2,0.0,10.5,,,
2023,SMC-4 (U10),U15,severe,3.8,0.5,8.8,7.7,-199.4,92.1
2023,SMC-4 (U15),U5,severe,6.7,0.0,16.0,,,
2023,SMC-4 (U15),5-10,severe,1.1,0.0,6.9,,,
2023,SMC-4 (U15),10-15,severe,0.6,0.0,4.5,,,
2023,SMC-4 (U15),U15,severe,3.2,0.0,7.2,32.3,-58.6,100.0
2023,SMC-5 (U10),U5,severe,5.4,0.0,13.8,,,
2023,SMC-5 (U10),5-10,severe,0.9,0.0,3.6,,,
2023,SMC-5 (U10),10-15,severe,2.4,0.0,9.0,,,
2023,SMC-5 (U10),U15,severe,3.1,0.0,7.1,26.4,-116.4,100.0
2023,SMC-5 (U15),U5,severe,5.4,0.0,14.9,,,
2023,SMC-5 (U15),5-10,severe,1.0,0.0,5.3,,,
2023,SMC-5 (U15),10-15,severe,0.4,0.0,4.2,,,
2023,SMC-5 (U15),U15,severe,2.6,0.0,6.3,41.0,-99.7,100.0
2024,BAU: SMC-4 (U5),U5,severe,10.4,0.0,21.1,,,
2024,BAU: SMC-4 (U5),5-10,severe,4.1,0.0,10.3,,,
2024,BAU: SMC-4 (U5),10-15,severe,1.9,0.0,8.3,,,
2024,BAU: SMC-4 (U5),U15,severe,6.0,2.3,10.8,,,
2024,SMC-5 (U5),U5,severe,6.5,0.0,15.6,,,
2024,SMC-5 (U5),5-10,severe,4.6,0.0,10.8,,,
2024,SMC-5 (U5),10-15,severe,1.8,0.0,8.5,,,
2024,SMC-5 (U5),U15,severe,4.6,0.0,8.8,5.8,-190.4,100.0
2024,SMC-4 (U10),U5,severe,9.7,0.0,20.0,,,
2024,SMC-4 (U10),5-10,severe,1.5,0.0,7.4,,,
2024,SMC-4 (U10),10-15,severe,1.2,0.0,6.2,,,
2024,SMC-4 (U10),U15,severe,4.6,0.0,9.4,-3.0,-287.8,100.0
2024,SMC-4 (U15),U5,severe,9.6,0.0,19.7,,,
2024,SMC-4 (U15),5-10,severe,1.8,0.0,7.3,,,
2024,SMC-4 (U15),10-15,severe,0.6,0.0,4.5,,,
2024,SMC-4 (U15),U15,severe,4.5,0.5,9.6,7.6,-196.9,94.0
2024,SMC-5 (U10),U5,severe,6.0,0.0,14.2,,,
2024,SMC-5 (U10),5-10,severe,0.5,0.0,3.5,,,
2024,SMC-5 (U10),10-15,severe,1.6,0.0,8.5,,,
2024,SMC-5 (U10),U15,severe,3.0,0.0,7.2,39.0,-112.7,100.0
2024,SMC-5 (U15),U5,severe,5.8,0.0,15.0,,,
2024,SMC-5 (U15),5-10,severe,0.8,0.0,3.6,,,
2024,SMC-5 (U15),10-15,severe,0.3,0.0,4.1,,,
2024,SMC-5 (U15),U15,severe,2.6,0.0,5.9,49.4,-70.9,100.0
2025,BAU: SMC-4 (U5),U5,severe,10.9,1.2,20.6,,,
2025,BAU: SMC-4 (U5),5-10,severe,3.3,0.0,9.6,,,
2025,BAU: SMC-4 (U5),10-15,severe,1.7,0.0,7.4,,,
2025,BAU: SMC-4 (U5),U15,severe,5.9,2.1,10.7,,,
2025,SMC-5 (U5),U5,severe,6.6,0.0,15.0,,,
2025,SMC-5 (U5),5-10,severe,4.5,0.0,14.7,,,
2025,SMC-5 (U5),10-15,severe,1.4,0.0,7.9,,,
2025,SMC-5 (U5),U15,severe,4.5,0.5,9.0,,,
2025,SMC-4 (U10),U5,severe,10.4,2.5,21.0,,,
2025,SMC-4 (U10),5-10,severe,1.3,0.0,6.2,,,
2025,SMC-4 (U10),10-15,severe,1.1,0.0,7.7,,,
2025,SMC-4 (U10),U15,severe,4.8,1.0,9.2,,,
2025,SMC-4 (U15),U5,severe,10.2,2.6,19.4,,,
2025,SMC-4 (U15),5-10,severe,0.7,0.0,3.4,,,
2025,SMC-4 (U15),10-15,severe,0.7,0.0,3.9,,,
2025,SMC-4 (U15),U15,severe,4.4,1.0,8.4,,,
2025,SMC-5 (U10),U5,severe,5.7,0.0,13.3,,,
2025,SMC-5 (U10),5-10,severe,0.6,0.0,5.0,,,
2025,SMC-5 (U10),10-15,severe,1.6,0.0,9.5,,,
2025,SMC-5 (U10),U15,severe,2.9,0.0,5.4,,,
2025,SMC-5 (U15),U5,severe,6.3,0.0,17.6,,,
2025,SMC-5 (U15),5-10,severe,0.6,0.0,3.4,,,
2025,SMC-5 (U15),10-15,severe,0.1,0.0,1.9,,,
2025,SMC-5 (U15),U15,severe,2.8,0.0,7.2,,,
2026,BAU: SMC-4 (U5),U5,severe,9.4,2.6,17.9,,,
2026,BAU: SMC-4 (U5),5-10,severe,3.7,0.0,12.4,,,
2026,BAU: SMC-4 (U5),10-15,severe,1.4,0.0,8.7,,,
2026,BAU: SMC-4 (U5),U15,severe,5.3,1.6,10.1,,,
2026,SMC-5 (U5),U5,severe,7.4,0.0,16.6,,,
2026,SMC-5 (U5),5-10,severe,3.2,0.0,11.0,,,
2026,SMC-5 (U5),10-15,severe,0.9,0.0,4.2,,,
2026,SMC-5 (U5),U15,severe,4.2,0.0,8.4,-3.6,-155.0,100.0
2026,SMC-4 (U10),U5,severe,10.2,0.0,24.2,,,
2026,SMC-4 (U10),5-10,severe,1.0,0.0,5.1,,,
2026,SMC-4 (U10),10-15,severe,1.6,0.0,8.6,,,
2026,SMC-4 (U10),U15,severe,4.8,0.0,10.6,-14.4,-249.3,100.0
2026,SMC-4 (U15),U5,severe,9.8,1.2,19.5,,,
2026,SMC-4 (U15),5-10,severe,1.6,0.0,6.9,,,
2026,SMC-4 (U15),10-15,severe,0.6,0.0,4.3,,,
2026,SMC-4 (U15),U15,severe,4.5,1.1,8.2,-11.9,-286.8,83.1
2026,SMC-5 (U10),U5,severe,6.4,0.0,17.2,,,
2026,SMC-5 (U10),5-10,severe,0.6,0.0,3.7,,,
2026,SMC-5 (U10),10-15,severe,1.3,0.0,8.7,,,
2026,SMC-5 (U10),U15,severe,3.1,0.0,7.7,20.6,-177.9,100.0
2026,SMC-5 (U15),U5,severe,6.3,0.0,14.4,,,
2026,SMC-5 (U15),5-10,severe,0.8,0.0,3.8,,,
2026,SMC-5 (U15),10-15,severe,0.1,0.0,2.0,,,
2026,SMC-5 (U15),U15,severe,2.8,0.0,6.0,29.1,-128.5,100.0
2027,BAU: SMC-4 (U5),U5,severe,8.9,2.4,20.0,,,
2027,BAU: SMC-4 (U5),5-10,severe,1.6,0.0,6.6,,,
2027,BAU: SMC-4 (U5),10-15,severe,1.1,0.0,5.7,,,
