,airtemp_C,rh_pct,rain_mm
2001-11-20,26.0,37.86,0.0
2001-11-21,26.21,37.17,0.0
2001-11-22,26.14,38.56,0.01
2001-11-23,27.55,43.61,0.0
2001-11-24,28.09,35.87,0.03
2001-11-25,27.14,38.26,0.0
2001-11-26,28.48,34.9,0.01
2001-11-27,28.69,39.4,0.04
2001-11-28,28.79,48.42,0.03
2001-11-29,27.34,30.56,0.0
2001-11-30,27.07,24.64,0.0
2001-12-01,25.64,29.92,0.0
2001-12-02,25.59,26.12,0.0
2001-12-03,26.33,24.33,0.0
2001-12-04,26.32,29.39,0.0
2001-12-05,25.96,24.9,0.0
2001-12-06,25.65,23.65,0.0
2001-12-07,25.18,23.57,0.0
2001-12-08,23.98,21.78,0.0
2001-12-09,24.59,24.38,0.0
2001-12-10,25.63,25.55,0.0
2001-12-11,27.04,23.16,0.0
2001-12-12,27.18,23.84,0.0
2001-12-13,27.2,23.13,0.0
2001-12-14,26.76,25.81,0.0
2001-12-15,27.85,27.07,0.0
2001-12-16,28.01,24.44,0.0
2001-12-17,27.56,20.98,0.0
2001-12-18,27.82,20.48,0.0
2001-12-19,27.7,22.5,0.0
2001-12-20,28.39,24.74,0.0
2001-12-21,27.63,21.21,0.0
2001-12-22,27.26,20.57,0.0
2001-12-23,27.38,19.63,0.0
2001-12-24,27.75,16.86,0.0
2001-12-25,26.83,18.08,0.0
2001-12-26,26.71,17.32,0.0
2001-12-27,26.46,15.83,0.0
2001-12-28,26.73,12.66,0.0
2001-12-29,26.93,16.31,0.0
2001-12-30,26.6,20.28,0.0
2001-12-31,26.47,20.83,0.0
2002-01-01,26.99,20.19,0.0
2002-01-02,26.31,18.37,0.0
2002-01-03,25.78,16.53,0.0
2002-01-04,26.01,15.15,0.0
2002-01-05,26.06,14.48,0.0
2002-01-06,26.52,14.28,0.0
2002-01-07,27.11,33.87,0.0
2002-01-08,27.5,37.56,0.0
2002-01-09,26.55,18.84,0.0
2002-01-10,25.81,15.97,0.0
2002-01-11,25.24,13.75,0.0
2002-01-12,23.82,16.02,0.0
