doy,airtemp,humidity,rainfall
133,28.8795,0.7185650000000001,4.5145
134,28.933999999999997,0.71253,2.819
135,28.699,0.72407,5.409
136,28.5905,0.7335349999999999,4.2385
137,28.488,0.7432000000000001,5.028499999999999
138,28.5935,0.742835,4.1315
139,28.782999999999998,0.7325399999999999,2.37
140,28.821499999999997,0.72946,2.3515
141,28.856,0.72128,2.128
142,28.909,0.7202649999999999,2.843
143,28.6625,0.7300550000000001,2.5725000000000002
144,28.645,0.728365,3.0805
145,28.6375,0.72784,3.4905
146,28.531,0.736495,3.7894999999999994
147,28.278,0.7479049999999999,4.856
148,28.1775,0.744325,3.4125
149,28.1115,0.74727,3.088
150,28.135,0.7475849999999999,4.027
151,27.917,0.760395,4.886
152,27.930500000000002,0.75119,3.3695
153,28.060000000000002,0.74897,4.1770000000000005
154,27.733999999999998,0.766655,4.494
155,27.613,0.772815,4.3295
156,27.54,0.7746999999999999,4.225
157,27.478500000000004,0.7682899999999999,4.154
158,27.5375,0.77498,5.9825
159,27.567,0.7757999999999999,4.279999999999999
160,27.6475,0.7689199999999999,3.876
161,27.187,0.7979600000000001,4.5595
162,27.226499999999998,0.779245,3.9935
163,27.5005,0.76573,3.6144999999999996
164,27.3585,0.784285,3.575
165,27.3125,0.784235,5.939
166,27.5065,0.773505,3.3485
167,27.3915,0.777355,4.323
168,27.339,0.7768050000000001,4.681
169,27.096500000000002,0.787575,5.089
170,27.135,0.78396,3.8630000000000004
171,27.102999999999998,0.7862649999999999,5.3735
172,26.924,0.785055,5.7305
173,27.098000000000003,0.7798949999999999,4.250500000000001
174,27.159,0.7762600000000001,4.0545
175,26.877999999999997,0.7901900000000001,5.118
176,26.860000000000003,0.788655,6.0915
177,26.788,0.78622,4.3555
178,26.911,0.7854249999999999,3.383
179,27.0075,0.7778700000000001,4.2219999999999995
180,26.948,0.7870050000000001,4.4475
181,26.929000000000002,0.78405,3.5744999999999996
182,26.786,0.793295,5.9945
183,26.6025,0.7977200000000001,5.743
184,26.844,0.786245,4.87
185,26.719,0.80116,6.0005
186,26.4495,0.81364,4.7225
187,26.4995,0.79949,4.3885
188,26.627,0.7940549999999998,3.7619999999999996
189,26.569,0.7966150000000001,4.401999999999999
190,26.553499999999996,0.79919,4.755
191,26.296499999999998,0.8088550000000001,5.4515
192,26.385,0.80036,6.4945
193,26.5045,0.79455,4.937
194,26.71,0.789315,3.8085
195,26.601,0.80234,4.1605
196,26.288,0.820895,7.058
197,26.1115,0.8249199999999999,8.156
198,26.029000000000003,0.8256100000000001,7.058
199,26.0285,0.8246799999999999,5.798
200,25.991500000000002,0.826005,5.5245
201,25.872000000000003,0.8378749999999999,7.9334999999999996
202,25.693,0.8444499999999999,7.847499999999999
203,25.7425,0.8366549999999999,6.6045
204,25.796,0.8385349999999999,9.568
205,25.926499999999997,0.8353049999999999,6.214
206,25.657,0.8441249999999999,4.8695
207,25.813,0.832065,3.8770000000000002
208,26.05,0.8221649999999999,3.4979999999999998
209,26.186,0.8205100000000001,4.1655
210,26.107,0.8290700000000001,3.9814999999999996
211,25.927999999999997,0.826725,4.1335
212,26.142000000000003,0.812225,4.0755
213,25.984500000000004,0.825765,4.5075
214,26.1855,0.8182300000000001,4.4719999999999995
215,26.083499999999997,0.81768,4.5795
216,26.133499999999998,0.814745,4.6125
217,26.0255,0.823305,5.901
218,25.964,0.8203999999999999,6.213
219,25.779000000000003,0.8325,6.151
220,25.768,0.83203,5.9255
221,25.9565,0.8204249999999998,5.96
222,26.1515,0.82199,8.019
223,26.253500000000003,0.8251550000000001,5.442
