day,30-day Avg Infection Duration,Adult Vectors,Air Temperature,Avg Num Infections,Births,Blood Smear Gametocyte Prevalence,Blood Smear Parasite Prevalence,Campaign Cost,Daily Bites per Human,Daily EIR,Disease Deaths,Fever Prevalence,Human Infectious Reservoir,Infected,Infectious Vectors,Land Temperature,Log Prevalence,Mean Parasitemia,New Clinical Cases,New Infections,New Severe Cases,Newly Symptomatic,PCR Gametocyte Prevalence,PCR Parasite Prevalence,PfHRP2 Prevalence,Rainfall,Relative Humidity,Statistical Population,Symptomatic Population,True Prevalence,Variant Fraction-PfEMP1 Major
32,0.0,1001,27.39800071716,1.0,1,0.09890110045671,0.09890110045671,0,0.2347652316093,0.0,0,0.01798201724887,4.721546793007e-05,0.09890110045671,0.0,27.39800071716,-1.00479888916,6437.303710938,0,0,0,0,0.09890110045671,0.09890110045671,0.09890110045671,0.06449999660254,0.2285500019789,1001,0,0.09890110045671,0.00138459680602
33,0.0,940,27.75200080872,1.0,2,0.09890110045671,0.09890110045671,0,0.2037962079048,0.0,0,0.04895104840398,5.140498251421e-05,0.09890110045671,0.0,27.75200080872,-1.00479888916,3638.616943359,0,0,0,0,0.09890110045671,0.09890110045671,0.09890110045671,0.02400000020862,0.2145050019026,1001,0,0.09890110045671,0.00138459680602
34,0.0,885,27.67049980164,1.0,2,0.09880239516497,0.09880239516497,0,0.1886227577925,0.0,0,0.06586826592684,3.521123653627e-05,0.09880239516497,0.0,27.67049980164,-1.005232572556,23335.7578125,0,0,0,0,0.09880239516497,0.09880239516497,0.09880239516497,0.004999999888241,0.2025250047445,1002,0,0.09880239516497,0.001555767958052
35,0.0,1057,27.70000076294,1.0,2,0.09880239516497,0.09880239516497,0,0.1806387156248,0.0,0,0.03393213450909,3.25754917867e-05,0.09880239516497,0.0,27.70000076294,-1.005232572556,9442.211914062,0,0,0,0,0.09880239516497,0.09880239516497,0.09880239516497,0.0,0.1931650042534,1002,0,0.09880239516497,0.001555767958052
36,0.0,1383,27.70999908447,1.0,2,0.09880239516497,0.09880239516497,0,0.3433133661747,0.0,0,0.06087824329734,3.626348188845e-05,0.09880239516497,0.0,27.70999908447,-1.005232572556,43382.01171875,0,0,0,0,0.09880239516497,0.09880239516497,0.09880239516497,0.0,0.188069999218,1002,0,0.09880239516497,0.001610797946341
37,0.0,1277,27.70549964905,1.0,2,0.09880239516497,0.09880239516497,0,0.4051896035671,0.0,0,0.0,2.739376031968e-05,0.09880239516497,0.0,27.70549964905,-1.005232572556,13192.81542969,0,0,0,0,0.09880239516497,0.09880239516497,0.09880239516497,0.0,0.1912800073624,1002,0,0.09880239516497,0.001610797946341
38,0.0,1213,27.73999977112,1.0,2,0.09880239516497,0.09880239516497,0,0.1467065811157,0.0,0,0.0,4.905711102765e-05,0.09880239516497,0.0,27.73999977112,-1.005232572556,32543.66210938,0,0,0,0,0.09880239516497,0.09880239516497,0.09880239516497,0.0,0.1741449981928,1002,0,0.09880239516497,0.001634115935303
39,0.0,1148,27.81749916077,1.0,2,0.09880239516497,0.09880239516497,0,0.2714570760727,0.0,0,0.0,2.929167203547e-05,0.09880239516497,0.0,27.81749916077,-1.005232572556,6954.207519531,0,0,0,0,0.09880239516497,0.09880239516497,0.09880239516497,0.0,0.1679649949074,1002,0,0.09880239516497,0.001634115935303
40,0.0,1062,28.17700004578,1.0,2,0.09880239516497,0.09880239516497,0,0.3443113565445,0.0,0,0.0,5.55746119062e-05,0.09880239516497,0.002824858762324,28.17700004578,-1.005232572556,11507.296875,0,0,0,0,0.09880239516497,0.09880239516497,0.09880239516497,0.03900000080466,0.1839500069618,1002,0,0.09880239516497,0.001653703046031
41,0.0,1022,28.17449951172,1.0,2,0.09880239516497,0.09880239516497,0,0.1257485002279,0.0,0,0.0,4.598122177413e-05,0.09880239516497,0.01076320931315,28.17449951172,-1.005232572556,1971.209106445,0,0,0,0,0.09880239516497,0.09880239516497,0.09880239516497,0.0625,0.2133699953556,1002,0,0.09880239516497,0.001653703046031
42,0.0,975,28.22299957275,1.0,2,0.09880239516497,0.09880239516497,0,0.2425149679184,0.0,0,0.0,6.209047569428e-05,0.09880239516497,0.01435897406191,28.22299957275,-1.005232572556,2361.918701172,0,0,0,0,0.09880239516497,0.09880239516497,0.09880239516497,0.1829999983311,0.2083600014448,1002,0,0.09880239516497,0.001663962844759
43,0.0,900,28.02899932861,1.0,2,0.09880239516497,0.09680638462305,0,0.2764471173286,0.002994012087584,0,0.0,6.027173731127e-05,0.09880239516497,0.01444444432855,28.02899932861,-1.005232572556,356.8134155273,0,4,0,3,0.09880239516497,0.09880239516497,0.09880239516497,0.241500005126,0.2053599953651,1002,0,0.09880239516497,0.001663962844759
